CuNiCoFe,4,Cu Ni Co Fe,1 1 1 1,1.254,1666.1925,3.31662479,1.88,0.03082207,9.5,1.118033989,1.68E+11,16.39359631,FCC,SS,0,0,1,3,82,3,,
NiCoFeCrMo0.3,5,Ni Co Fe Cr Mo,1 1 1 1 0.3,1.254860465,1943.209302,1.788112226,1.84372093,0.127279646,8.093023256,1.537348268,1.77E+11,16.68918616,FCC,SS,0,0,1,3,86,3,,
Fe91Hf7B2,3,Fe Hf B,91 7 2,1.25617,1870.39,4.726629741,1.7971,0.139508387,7.62,1.214742771,1.69E+11,26.468094,BCC,SS,0,0,1,3,,11,,
CoCrFeNiAl0.25,5,Co Cr Fe Ni Al,1 1 1 1 0.25,1.257647059,1816.557059,3.681676519,1.807647059,0.106026046,7.941176471,1.893350228,1.67E+11,24.08864828,FCC,SS,0,0,1,3,38,10,,
CoCr2FeNiAl0.3,5,Co Cr Fe Ni Al,1 2 1 1 0.3,1.257660377,1876.800189,3.359405582,1.777924528,0.11230616,7.528301887,1.909299719,1.65E+11,23.39470476,FCC+BCC+IM,IM+SS,0,1,1,,29,10,,
Co1.5Cr0.5FeMn0.5Ni,5,Co Cr Fe Mn Ni,1.5 0.5 1 0.5 1,1.258444444,1786.777778,1.792350495,1.814444444,0.11805,8.444444444,1.257078722,1.69E+11,18.52592445,FCC,SS,0,0,1,3,29,10,,
FeNi2CrCuAl0.2,5,Fe Ni Cr Cu Al,1 2 1 1 0.2,1.258923077,1729.127692,5.051329363,1.833076923,0.103988506,8.769230769,2.099591394,1.63E+11,22.69230769,FCC,SS,0,0,1,3,28,3,,
Cu0.5NiCoCrAl0.5Fe3.5,6,Cu Ni Co Cr Al Fe,0.5 1 1 1 0.5 3.5,1.259266667,1754.682667,4.446064149,1.814666667,0.091423313,8,1.861898673,1.63E+11,25.31789003,FCC,SS,0,0,1,3,11,3,,
NiCoFeCrAl0.3,5,Ni Co Fe Cr Al,1 1 1 1 0.3,1.259674419,1806.288605,3.910516654,1.805348837,0.107516334,7.88372093,1.955425396,1.66E+11,25.85184732,FCC,SS,0,0,1,3,86,3,,
Al0.3CoCrFeNi ,5,Al Co Cr Fe Ni,0.3 1 1 1 1,1.259674419,1806.288605,3.910516654,1.805348837,0.107516334,7.88372093,1.955425396,1.66E+11,25.85184732,FCC+L12,IM+SS,0,1,1,,"264,265",4,,
Cu0.5NiCoCrAl0.5Fe3,6,Cu Ni Co Cr Al Fe,0.5 1 1 1 0.5 3,1.260571429,1750.66,4.603583014,1.813571429,0.094537003,8,1.927248223,1.63E+11,26.13622086,FCC,SS,0,0,1,3,11,3,,
Cu0.75NiCoFeCrAl0.25,6,Cu Ni Co Fe Cr Al,0.75 1 1 1 1 0.25,1.2607,1747.739,4.940735851,1.8215,0.103163705,8.4,2.059126028,1.63E+11,24.18594633,FCC,SS,0,0,1,3,85,3,,
NiCoFeCrAl0.375,5,Ni Co Fe Cr Al,1 1 1 1 0.375,1.262628571,1791.326,4.205131874,1.802,0.109565375,7.8,2.039607805,1.64E+11,28.15374699,FCC,SS,0,0,1,3,77,3,,
FeCoNiCrCuAl0.3,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 0.3,1.263132075,1721.662453,5.187950399,1.823207547,0.103682636,8.471698113,2.142153506,1.61E+11,25.37437732,FCC+FCC,SS,0,0,1,3,35,3,,
BFe14Nd2,3,B Fe Nd,1 14 2,1.263176471,1781.764706,6.075547782,1.761176471,0.232097402,7.117647059,1.906100205,1.63E+11,59.2373678,IM,IM,0,1,0,2,,12,,
Cu0.5NiAlCoCrFeSi,7,Cu Ni Al Co Cr Fe Si,0.5 1 1 1 1 1 1,1.263230769,1659.439231,11.82337015,1.806153846,0.117574099,7,2.717464882,1.44E+11,39.40324079,AM,AM,1,0,0,1,48,8,,
Cr6Fe18Mo5,3,Cr Fe Mo,6 18 5,1.263689655,2074.413793,0.356364523,1.851724138,0.155830787,7.24137931,0.970430847,1.78E+11,23.93510847,IM,IM,0,1,0,2,,____,,
Cu0.5NiCoCrAl0.5Fe2,6,Cu Ni Co Cr Al Fe,0.5 1 1 1 0.5 2,1.263833333,1740.603333,4.97516175,1.810833333,0.101854335,8,2.081665999,1.61E+11,28.03965446,FCC,SS,0,0,1,3,11,3,,
CuAlNiCoCrFeSi,7,Cu Al Ni Co Cr Fe Si,1 1 1 1 1 1 1,1.264285714,1637.891429,11.62196071,1.812857143,0.115846485,7.285714286,2.813959372,1.44E+11,37.98388488,BCC+FCC,SS,0,0,1,3,33,3,,
Al0.5CoCrCu0.5FeNi2 ,6,Al Co Cr Cu Fe Ni,0.5 1 1 0.5 1 2,1.264666667,1726.77,5.240246365,1.824166667,0.108509472,8.333333333,2.211083194,1.63E+11,28.7923601,FCC+L12,IM+SS,0,1,1,,262,4,,
CuNi2FeCrAl0.4,5,Cu Ni Fe Cr Al,1 2 1 1 0.4,1.265333333,1699.658889,5.609742251,1.824814815,0.110398952,8.555555556,2.330686329,1.59E+11,27.62178421,FCC,SS,0,0,1,3,84,3,,
BIn2Ni7,3,B In Ni,1 2 7,1.2662,1530.35,6.533566254,1.897,0.070007142,7.9,3.207802986,1.65E+11,77.63559895,IM,IM,0,1,0,2,,____,,
CoCuFeNiV,5,Co Cu Fe Ni V,1 1 1 1 1,1.2664,1769.554,5.683154054,1.83,0.10373042,8.6,2.059126028,1.66E+11,14.96662955,FCC,SS,0,0,1,3,9,3,,
Al0.5CoCrFeNi,5,Al Co Cr Fe Ni,0.5 1 1 1 1,1.267333333,1767.496667,4.600341233,1.796666667,0.112546287,7.666666667,2.160246899,1.62E+11,31.31835734,FCC+BCC,SS,0,0,1,3,77,3,,
FeCrMnNiCo,5,Fe Cr Mn Ni Co,1 1 1 1 1,1.2674,1801.2,2.197598689,1.766,0.138361844,8,1.414213562,1.62E+11,22.27105745,FCC,SS,0,0,1,3,3,3,,
Al0.5CrCuFeNi2,5,Al Cr Cu Fe Ni,0.5 1 1 1 2,1.268363636,1685.728182,5.818518464,1.820909091,0.113093248,8.454545455,2.425757103,1.58E+11,29.54755237,FCC,SS,0,0,1,3,78,3,,
Cu0.5NiCoFeAl0.5Cr,6,Cu Ni Co Fe Al Cr,0.5 1 1 1 0.5 1,1.2684,1726.524,5.437425862,1.807,0.111180034,8,2.28035085,1.60E+11,30.42104535,FCC,SS,0,0,1,3,85,3,,
Cu3Ge,2,Cu Ge,3 1,1.2685,1321.1775,1.244911518,1.9275,0.047631397,9.25,3.031088913,1.05E+11,60.62177826,IM,IM,0,1,0,2,,____,,
CoCrCuFeMnNi,6,Co Cr Cu Fe Mn Ni,1 1 1 1 1 1,1.269166667,1727.295,3.868464886,1.788333333,0.135820552,8.5,1.707825128,1.58E+11,21.9215774,FCC,SS,0,0,1,3,3,3,,
FeCoNiCrCuAl0.5,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 0.5,1.269272727,1693.000909,5.643485011,1.815454545,0.109325505,8.272727273,2.339032787,1.58E+11,29.54755237,FCC+FCC,SS,0,0,1,3,35,3,,
CoCrFeNiCuAl0.5 ,6,Co Cr Fe Ni Cu Al,1 1 1 1 1 0.5,1.269272727,1693.000909,5.643485011,1.815454545,0.109325505,8.272727273,2.339032787,1.58E+11,29.54755237,FCC+BCC+IM,IM+SS,0,1,1,,36,10,,
CoCrFeNiTi0.5 ,5,Co Cr Fe Ni Ti,1 1 1 1 0.5,1.270666667,1879.444444,6.887981709,1.788888889,0.126705647,7.777777778,1.930905244,1.66E+11,21.14033066,FCC+IM,IM+SS,0,1,1,,42,10,,
CuNiCoFeCrAl0.5V0.2,7,Cu Ni Co Fe Cr Al V,1 1 1 1 1 0.5 0.2,1.270912281,1710.19386,5.813821542,1.808947368,0.112681576,8.157894737,2.375233866,1.58E+11,29.0273218,FCC,SS,0,0,1,3,81,3,,
FeNi2CrCuAl0.6,5,Fe Ni Cr Cu Al,1 2 1 1 0.6,1.271285714,1672.295,5.994159081,1.817142857,0.115506869,8.357142857,2.510183342,1.56E+11,31.22294747,FCC,SS,0,0,1,3,28,3,,
CoCrFeNiNb0.65,5,Co Cr Fe Ni Nb,1 1 1 1 0.65,1.272225806,1994.516129,6.571834858,1.789247312,0.117740708,7.795698925,1.775333619,1.72E+11,7.73894805,FCC+Laves,IM+SS,0,1,1,,,16,,
CoCrFeNiPd,5,Co Cr Fe Ni Pd,1 1 1 1 1,1.2724,1863.01,3.06333152,1.896,0.174882818,8.6,1.496662955,1.74E+11,8,FCC,SS,0,0,1,3,38,3,,
CrCuFeMnNi,5,Cr Cu Fe Mn Ni,1 1 1 1 1,1.2728,1719.154,4.235582605,1.77,0.141844986,8.4,1.854723699,1.54E+11,21.54065923,FCC+BCC,SS,0,0,1,3,64,8,,
AlCo3.5CrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 3.5 1 0.5 1 1,1.2731875,1689.919375,5.451680601,1.8175,0.108195425,8,2.263846285,1.61E+11,33.82214511,SS,SS,0,0,1,3,63,8,,
CuNiCoFeMn,5,Cu Ni Co Fe Mn,1 1 1 1 1,1.2732,1636.754,3.595864291,1.814,0.134848063,9,1.414213562,1.58E+11,24,FCC,SS,0,0,1,3,36,3,,
CoCrCuFeMn,5,Co Cr Cu Fe Mn,1 1 1 1 1,1.2738,1727.154,3.840499967,1.764,0.136323146,8.2,1.720465053,1.54E+11,21.54065923,FCC+FCC,SS,0,0,1,3,14,14,,
Al0.5CoCrCuFeNiV0.6 ,7,Al Co Cr Cu Fe Ni V,0.5 1 1 1 1 1 0.6,1.273868852,1741.197541,6.042357234,1.797213115,0.117586817,7.950819672,2.425454019,1.58E+11,28.06430976,IM+SS,IM+SS,0,1,1,,40,1,,
CoCrMnNi,4,Co Cr Mn Ni,1 1 1 1,1.274,1798.75,2.468552207,1.75,0.150499169,8,1.58113883,1.60E+11,24.49489743,FCC,SS,0,0,1,3,27,2,,
AlCo3CrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 3 1 0.5 1 1,1.274666667,1684.714,5.599131926,1.813333333,0.110493841,7.933333333,2.322833519,1.59E+11,34.55211844,SS,SS,0,0,1,3,89,3,,
Al0.5CoCrCuFeNiV0.8,7,Al Co Cr Cu Fe Ni V,0.5 1 1 1 1 1 0.8,1.275206349,1755.223016,6.116912468,1.791904762,0.119361491,7.857142857,2.442072649,1.58E+11,27.61740553,IM+SS,IM+SS,0,1,1,,40,1,,
AlCoCrCu0.5FeNi2.5,6,Al Co Cr Cu Fe Ni,1 1 1 0.5 1 2.5,1.275285714,1670.193571,5.997835333,1.815,0.117518995,8.071428571,2.520325538,1.58E+11,35.31086437,SS,SS,0,0,1,3,63,8,,
CrCuFeMoNi,5,Cr Cu Fe Mo Ni,1 1 1 1 1,1.2754,1994.554,5.452250911,1.892,0.161170717,8.2,2.039607805,1.76E+11,30.06659276,FCC,SS,0,0,1,3,48,3,,
Al0.5CoCrCuFeNiTi0.2,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 0.2,1.276035088,1701.702632,6.793731655,1.805789474,0.11875003,8.122807018,2.428414944,1.56E+11,30.32886333,FCC,SS,0,0,1,3,76,3,,
Al0.5CoCrCuFeNiV1.0 ,7,Al Co Cr Cu Fe Ni V,0.5 1 1 1 1 1 1.0,1.276461538,1768.385385,6.171554345,1.786923077,0.120791277,7.769230769,2.454316328,1.58E+11,27.19119245,IM+SS,IM+SS,0,1,1,,40,1,,
CoFeNiVMo0.6,5,Co Fe Ni V Mo,1 1 1 1 0.6,1.276478261,2006,4.470645865,1.857826087,0.155114446,7.739130435,1.87007071,1.80E+11,20.85144141,FCC+IM,IM+SS,0,1,1,,,16,,
FeNi2CrCuAl0.8,5,Fe Ni Cr Cu Al,1 2 1 1 0.8,1.276827586,1646.818276,6.27048773,1.81,0.119625854,8.172413793,2.653156422,1.54E+11,34.00356699,SS,SS,0,0,1,3,20,8,,
AlCoCrFeNi2.1,5,Al Co Cr Fe Ni,1 1 1 1 2.1,1.276983607,1692.011475,5.505649683,1.801803279,0.120375208,7.704918033,2.491587566,1.58E+11,37.04758447,FCC+B2,IM+SS,0,1,1,,,16,,
Co0.5CrFeMn1.5Ni ,5,Co Cr Fe Mn Ni,0.5 1 1 1.5 1,1.2773,1776.3,2.35257816,1.733,0.146359147,7.8,1.4,1.56E+11,24.57641145,FCC+IM,IM+SS,0,1,1,,29,10,,
CuCoNiCrAl0.8Fe,6,Cu Co Ni Cr Al Fe,1 1 1 1 0.8 1,1.277689655,1653.714828,6.102456615,1.804827586,0.115776857,8,2.559633594,1.54E+11,34.00356699,FCC+BCC,SS,0,0,1,3,,6,,
AlCoCr2Cu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 1 2 0.5 1 1,1.278,1735.285385,5.641018606,1.769230769,0.119965478,7.307692308,2.461538462,1.53E+11,34.7699115,SS,SS,0,0,1,3,63,8,,
AlCo2CrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 2 1 0.5 1 1,1.278307692,1671.900769,5.905401994,1.803076923,0.115317929,7.769230769,2.454316328,1.56E+11,36.09258312,SS,SS,0,0,1,3,89,3,,
CoFeNi2V0.5Nb0.75,5,Co Fe Ni V Nb,1 1 2 0.5 0.75,1.278809524,1940.761905,7.629715384,1.818095238,0.11890849,8.238095238,1.94947519,1.75E+11,6.632565846,FCC+Laves,IM+SS,0,1,1,,,16,,
Co2Mo0.5Ni2VW0.5,5,Co Mo Ni V W,2 0.5 2 1 0.5,1.279166667,2078.416667,4.547543108,1.911666667,0.188274327,8.166666667,1.950783318,1.92E+11,39.33474574,FCC+Co7Mo6,IM+SS,0,1,1,,,16,,
CuNi2FeCrAl0.9,5,Cu Ni Fe Cr Al,1 2 1 1 0.9,1.279457627,1634.727627,6.379553125,1.806610169,0.121384809,8.084745763,2.713982224,1.52E+11,35.17020624,FCC+BCC,SS,0,0,1,3,84,3,,
AlCoCrCu0.5Fe1.5Ni,6,Al Co Cr Cu Fe Ni,1 1 1 0.5 1.5 1,1.27975,1667.475833,5.916356477,1.7925,0.115623311,7.583333333,2.498610725,1.54E+11,36.40627235,SS,SS,0,0,1,3,63,8,,
CuNi2FeMn2Cr,5,Cu Ni Fe Mn Cr,1 2 1 2 1,1.28,1691.824286,3.903636582,1.758571429,0.154774358,8.428571429,1.761261144,1.53E+11,24.32769481,FCC,SS,0,0,1,3,83,3,,
AlCoCr1.5Cu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 1 1.5 0.5 1 1,1.280416667,1698.225833,5.900727676,1.778333333,0.120473602,7.416666667,2.531742922,1.53E+11,36.13247231,SS,SS,0,0,1,3,63,8,,
AlCo1.5CrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 1.5 1 0.5 1 1,1.280583333,1663.8925,6.052034527,1.796666667,0.117780398,7.666666667,2.527625148,1.54E+11,36.88570937,SS,SS,0,0,1,3,63,8,,
CoFeNi1.4VMo,5,Co Fe Ni V Mo,1 1 1.4 1 1,1.28062963,2051.333333,4.353169794,1.884074074,0.163622403,7.777777778,1.892154041,1.84E+11,23.27741683,FCC+IM,IM+SS,0,1,1,,,16,,
CoFeMnNiV,5,Co Fe Mn Ni V,1 1 1 1 1,1.2808,1801.8,4.304862367,1.76,0.143387587,7.8,1.720465053,1.62E+11,22.27105745,FCC,SS,0,0,1,3,14,14,,
FeCoNiMnV,5,Fe Co Ni Mn V,1 1 1 1 1,1.2808,1801.8,4.304862367,1.76,0.143387587,7.8,1.720465053,1.62E+11,22.27105745,FCC+IM,IM+SS,0,1,1,,28,10,,
