Cu51Zr14,2,Cu Zr,51 14,1.348,1523.665692,316.6330026,3.063658263,0.521004041,1.777230769,0.234320672,9.492307692,2.877622293,1.25E+11,28.43364884,IM,IM,0,1,0,2,,____,,
Al11Sm3,2,Al Sm,11 3,1.513,1021.687143,168.9229679,5.0913908,0.519579839,1.515714286,0.180543397,3,0,67857142857,15.59238433,IM,IM,0,1,0,2,,____,,
Al11Ce3,2,Al Ce,11 3,1.516214286,962.9407143,56.43212148,5.0913908,0.519579839,1.505,0.201059693,3,0,64428571429,22.15759878,IM,IM,0,1,0,2,,____,,
B4Co,2,B Co ,4 1,0.9062,2232,232,3.456,0.500402424,2.008,0.064,4.2,2.4,2.92E+11,56,IM,IM,0,1,0,2,,____,,
Cu4In,2,Cu In,4 1,1.3344,1172.166,371.208,1.44,0.500402424,1.876,0.048,9.4,3.2,1.19E+11,42.668,IM,IM,0,1,0,2,,____,,
Cu4Ce,2,Cu Ce,4 1,1.3874,1300.416,114.708,3.024,0.500402424,1.744,0.312,9.4,3.2,1.16E+11,47.2,IM,IM,0,1,0,2,,____,,
Al4Mn,2,Al Mn,4 1,1.4156,1050.576,234.212,2.736,0.500402424,1.598,0.024,3.8,1.6,84800000000,17.6,IM,IM,0,1,0,2,,____,,
Ag4Sn,2,Ag Sn,4 1,1.48,1088.96,291.94,0.432,0.500402424,1.936,0.012,9.6,2.8,91600000000,16.8,IM,IM,0,1,0,2,,____,,
Al4Ca,2,Al Ca,4 1,1.5408,969.776,72.612,2.88,0.500402424,1.488,0.244,2.8,0.4,64200000000,23.6,IM,IM,0,1,0,2,,____,,
AuSn4,2,Au Sn,1 4,1.5844,671.53,332.9,1.44,0.500402424,2.076,0.232,5.4,2.8,90400000000,64.8,IM,IM,0,1,0,2,,____,,
Al9Co2,2,Al Co,9 2,1.399090909,1085.202727,321.8737211,2.96761719,0.474139313,1.659090909,0.104137544,4.090909091,2.314167648,94909090909,40.11223922,IM,IM,0,1,0,2,,____,,
Pd82Si18,2,Pd Si,82 18,1.33504,1802.661,54.18964042,8.654974969,0.471393487,2.146,0.115256236,8.92,2.305124725,1.66E+11,30.73499634,AM,AM,1,0,0,1,9,1,,
